combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_range,opponent,shot_id
Jump Shot,-157,0,10,1,0,2000-01,22,15,0.0,2PT Field Goal,Left Side(L),8-16 ft.,POR,2
Jump Shot,-101,135,7,1,0,2000-01,45,16,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,POR,3
Jump Shot,138,175,6,1,0,2000-01,52,22,,2PT Field Goal,Right Side Center(RC),16-24 ft.,POR,4
Dunk,0,0,6,2,0,2000-01,19,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,POR,5
Jump Shot,-145,-11,9,3,0,2000-01,32,14,0.0,2PT Field Goal,Left Side(L),8-16 ft.,POR,6
Layup,0,0,8,3,0,2000-01,52,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,POR,7
Jump Shot,-65,108,6,3,0,2000-01,12,12,1.0,2PT Field Goal,Left Side(L),8-16 ft.,POR,9
Jump Shot,-33,125,3,3,0,2000-01,36,12,0.0,2PT Field Goal,Center(C),8-16 ft.,POR,10
Jump Shot,-94,238,1,3,0,2000-01,56,25,,3PT Field Goal,Left Side Center(LC),24+ ft.,POR,11
Jump Shot,121,127,11,1,0,2000-01,0,17,,2PT Field Goal,Right Side Center(RC),16-24 ft.,UTA,12
Jump Shot,-67,110,7,1,0,2000-01,9,12,,2PT Field Goal,Left Side(L),8-16 ft.,UTA,13
Jump Shot,-94,4,2,1,0,2000-01,44,9,,2PT Field Goal,Left Side(L),8-16 ft.,UTA,14
Jump Shot,-23,47,1,1,0,2000-01,16,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,UTA,15
Jump Shot,62,192,0,1,0,2000-01,48,20,0.0,2PT Field Goal,Center(C),16-24 ft.,UTA,16
Jump Shot,-117,226,8,2,0,2000-01,50,25,1.0,3PT Field Goal,Left Side Center(LC),24+ ft.,UTA,18
Jump Shot,-132,97,11,3,0,2000-01,29,16,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,UTA,19
Jump Shot,3,144,10,3,0,2000-01,8,14,,2PT Field Goal,Center(C),8-16 ft.,UTA,21
Jump Shot,134,127,9,3,0,2000-01,4,18,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,UTA,22
Jump Shot,-16,110,7,3,0,2000-01,57,11,1.0,2PT Field Goal,Center(C),8-16 ft.,UTA,23
Jump Shot,-109,150,5,3,0,2000-01,47,18,,2PT Field Goal,Left Side Center(LC),16-24 ft.,UTA,24
Jump Shot,-46,63,5,3,0,2000-01,11,7,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,UTA,25
Layup,0,0,2,3,0,2000-01,36,0,,2PT Field Goal,Center(C),Less Than 8 ft.,UTA,26
Jump Shot,-58,196,2,3,0,2000-01,4,20,0.0,2PT Field Goal,Center(C),16-24 ft.,UTA,27
Jump Shot,-183,186,0,3,0,2000-01,30,26,,3PT Field Goal,Left Side Center(LC),24+ ft.,UTA,28
Jump Shot,85,173,8,4,0,2000-01,19,19,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,UTA,29
Jump Shot,3,87,6,4,0,2000-01,22,8,0.0,2PT Field Goal,Center(C),8-16 ft.,UTA,30
Jump Shot,121,4,1,4,0,2000-01,20,12,1.0,2PT Field Goal,Right Side(R),8-16 ft.,UTA,31
Jump Shot,127,34,0,4,0,2000-01,30,13,0.0,2PT Field Goal,Right Side(R),8-16 ft.,UTA,32
Jump Shot,91,184,3,2,0,2000-01,30,20,,2PT Field Goal,Right Side Center(RC),16-24 ft.,VAN,39
Jump Shot,-27,272,0,2,0,2000-01,4,27,,3PT Field Goal,Center(C),24+ ft.,VAN,40
Jump Shot,-176,66,11,3,0,2000-01,12,18,0.0,2PT Field Goal,Left Side(L),16-24 ft.,VAN,41
Layup,7,4,10,3,0,2000-01,13,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,42
Jump Shot,150,133,8,3,0,2000-01,59,20,,2PT Field Goal,Right Side Center(RC),16-24 ft.,VAN,43
Jump Shot,49,15,8,3,0,2000-01,29,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,44
Layup,-4,4,3,3,0,2000-01,21,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,46
Dunk,-4,4,2,3,0,2000-01,55,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,47
Dunk,1,9,2,3,0,2000-01,38,0,,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,48
Jump Shot,121,120,4,4,0,2000-01,55,17,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,VAN,49
Layup,1,9,1,4,0,2000-01,8,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,51
Layup,-12,9,1,4,0,2000-01,6,1,,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,52
Jump Shot,24,70,10,1,0,2000-01,33,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,53
Jump Shot,-189,-4,10,1,0,2000-01,4,18,0.0,2PT Field Goal,Left Side(L),16-24 ft.,LAC,54
Jump Shot,-155,194,2,1,0,2000-01,33,24,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,LAC,56
Jump Shot,1,228,11,2,0,2000-01,26,22,1.0,3PT Field Goal,Center(C),16-24 ft.,LAC,57
Layup,0,0,8,2,0,2000-01,40,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,58
Dunk,0,0,4,2,0,2000-01,5,0,,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,59
Jump Shot,-33,108,2,2,0,2000-01,2,11,0.0,2PT Field Goal,Center(C),8-16 ft.,LAC,61
Layup,22,49,0,2,0,2000-01,47,5,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,62
Layup,0,0,9,3,0,2000-01,32,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,63
Layup,56,21,0,3,0,2000-01,37,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,LAC,64
Jump Shot,121,26,0,3,0,2000-01,1,12,1.0,2PT Field Goal,Right Side(R),8-16 ft.,LAC,65
Jump Shot,231,57,8,1,0,2000-01,17,23,0.0,3PT Field Goal,Right Side(R),24+ ft.,HOU,68
Layup,0,0,7,1,0,2000-01,53,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,69
Dunk,0,0,7,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,70
Jump Shot,7,257,3,1,0,2000-01,11,25,1.0,3PT Field Goal,Center(C),24+ ft.,HOU,72
Layup,0,0,7,2,0,2000-01,56,0,,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,73
Jump Shot,51,57,2,2,0,2000-01,40,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,HOU,74
Jump Shot,167,190,0,2,0,2000-01,10,25,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,HOU,75
Jump Shot,-119,190,11,3,0,2000-01,2,22,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,HOU,76
